CTY_NAME,Latitude,Longitude,Geographic Area Name (Grouping),2010 Pop Actual,2011 Pop Estimate,2012 Pop Estimate,2013 Pop Estimate,2014 Pop Estimate,2015 Pop Estimate,2016 Pop Estimate,2017 Pop Estimate,2018 Pop Estimate,2019 Pop Estimate
Ramsey,45.017303,-93.099055,"Ramsey County, Minnesota",509387,515826,521009,527131,532796,536631,541502,544886,548872,550321
McLeod,44.847231,-94.256717,"McLeod County, Minnesota",36589,36343,35933,35900,35775,35814,35749,35876,35827,35893
Carver,44.766555,-93.765376,"Carver County, Minnesota",91401,92817,93863,95610,97356,98630,100374,102118,103533,105089
Yellow Medicine,44.717476,-95.869415,"Yellow Medicine County, Minnesota",10423,10284,10153,10078,9982,9837,9888,9836,9799,9709
Dakota,44.670744,-93.066382,"Dakota County, Minnesota",399211,401771,404613,407895,411725,414131,417555,421518,425040,429021
Renville,44.726224,-94.947518,"Renville County, Minnesota",15684,15427,15283,15069,14933,14798,14613,14693,14609,14548
Scott,44.64742,-93.539025,"Scott County, Minnesota",130506,132565,135114,137244,139161,141329,143309,145535,147191,149013
Sibley,44.543349,-94.41156,"Sibley County, Minnesota",15256,15165,15080,15055,14931,14889,14812,14899,14997,14865
Redwood,44.403777,-95.254766,"Redwood County, Minnesota",16079,16025,15820,15685,15529,15425,15216,15244,15252,15170
Goodhue,44.408241,-92.722252,"Goodhue County, Minnesota",46210,46099,46140,46106,46016,46060,46226,46307,46299,46340
Lincoln,44.412244,-96.268955,"Lincoln County, Minnesota",5885,5808,5754,5755,5765,5710,5703,5665,5668,5639
Lyon,44.413701,-95.840345,"Lyon County, Minnesota",25849,25828,25633,25722,25778,25826,25971,25929,25583,25474
Le Sueur,44.371839,-93.73141,"Le Sueur County, Minnesota",27731,27782,27661,27705,27814,27755,27772,28210,28588,28887
Rice,44.354312,-93.296552,"Rice County, Minnesota",64243,64466,64438,64639,64997,65323,65868,66196,66566,66972
Brown,44.241899,-94.728197,"Brown County, Minnesota",25843,25658,25412,25267,25272,25240,25272,25172,25125,25008
Nicollet,44.349012,-94.246834,"Nicollet County, Minnesota",32758,32966,33020,32981,33370,33526,33720,34052,34199,34274
Wabasha,44.283729,-92.231813,"Wabasha County, Minnesota",21672,21610,21542,21566,21461,21387,21435,21590,21645,21627
Blue Earth,44.004139,-94.068784,"Blue Earth County, Minnesota",64086,64359,64974,64737,65300,65673,66355,66916,67378,67653
Pipestone,44.023102,-96.258576,"Pipestone County, Minnesota",9606,9529,9397,9302,9320,9295,9248,9157,9127,9126
Murray,44.022346,-95.763303,"Murray County, Minnesota",8697,8632,8574,8507,8437,8394,8305,8332,8254,8194
Cottonwood,44.007086,-95.181379,"Cottonwood County, Minnesota",11715,11713,11574,11554,11507,11422,11367,11249,11259,11196
Winona,43.987961,-91.779176,"Winona County, Minnesota",51435,51355,51343,51332,51059,50827,50861,50718,50735,50484
Waseca,44.022011,-93.587124,"Waseca County, Minnesota",19145,19185,19176,19036,18925,18926,18783,18713,18664,18612
Steele,44.022343,-93.226183,"Steele County, Minnesota",36497,36568,36311,36363,36483,36599,36644,36787,36738,36649
Dodge,44.023195,-92.864994,"Dodge County, Minnesota",20154,20200,20267,20334,20384,20410,20540,20696,20767,20934
Olmsted,44.003457,-92.404765,"Olmsted County, Minnesota",144534,145829,146907,148851,150043,151397,153272,154727,156358,158293
Watonwan,43.978402,-94.614084,"Watonwan County, Minnesota",11194,11167,11115,11049,10982,11018,11002,10934,11007,10897
Rock,43.674906,-96.252981,"Rock County, Minnesota",9658,9599,9481,9428,9379,9442,9392,9459,9401,9315
Nobles,43.674764,-95.753303,"Nobles County, Minnesota",21425,21621,21736,21797,21698,21748,21878,21671,21744,21629
Jackson,43.674545,-95.153958,"Jackson County, Minnesota",10271,10195,10308,10281,10272,10096,9968,9965,9895,9846
Martin,43.674531,-94.55096,"Martin County, Minnesota",20805,20624,20459,20422,20244,20036,19904,19866,19772,19683
Houston,43.671452,-91.489885,"Houston County, Minnesota",19025,18876,18764,18774,18700,18686,18703,18677,18572,18600
Faribault,43.674102,-93.947863,"Faribault County, Minnesota",14480,14461,14176,14099,14105,13981,13867,13768,13736,13653
Fillmore,43.674246,-92.090007,"Fillmore County, Minnesota",20862,20834,20831,20751,20771,20739,20916,20980,21044,21067
Freeborn,43.674011,-93.348842,"Freeborn County, Minnesota",31204,31069,31026,30923,30742,30522,30449,30582,30480,30281
Mower,43.671617,-92.752395,"Mower County, Minnesota",39212,39351,39400,39330,39417,39492,39567,39773,40142,40062
